Country,Wind,Solar,Nuclear,Hydro
Afghanistan,0.0,0.08,0.0,0.62
Albania,0.0,0.04,0.0,6.96
Algeria,0.01,0.66,0.0,0.01
American Samoa,0.0,0.01,0.0,0.0
Angola,0.0,0.02,0.0,12.64
Antigua and Barbuda,0.0,0.02,0.0,0.0
Argentina,14.16,2.94,7.47,23.89
Armenia,0.0,0.33,2.63,2.0
Aruba,0.14,0.01,0.0,0.0
Australia,31.65,38.84,0.0,17.12
Austria,6.96,3.79,0.0,34.71
Azerbaijan,0.08,0.06,0.0,1.6
Bahamas,0.0,0.0,0.0,0.0
Bahrain,0.0,0.01,0.0,0.0
Bangladesh,0.01,0.53,0.0,0.79
Barbados,0.0,0.08,0.0,0.0
Belarus,0.19,0.17,4.68,0.39
Belgium,12.16,6.88,43.88,0.27
Belize,0.0,0.01,0.0,0.08
Benin,0.0,0.02,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,9.0
Bolivia,0.44,0.35,0.0,2.85
Bosnia and Herzegovina,0.39,0.14,0.0,4.97
Botswana,0.0,0.01,0.0,0.0
Brazil,81.63,30.13,14.56,427.11
British Virgin Islands,0.0,0.0,0.0,0.0
Brunei,0.0,0.0,0.0,0.0
Bulgaria,1.44,2.09,16.46,3.8
Burkina Faso,0.0,0.12,0.0,0.12
Burundi,0.0,0.01,0.0,0.22
Cambodia,0.0,0.39,0.0,4.0
Cameroon,0.0,0.02,0.0,5.0
Canada,37.53,6.01,86.64,398.44
Cape Verde,0.06,0.01,0.0,0.0
Cayman Islands,0.0,0.02,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.15
Chad,0.01,0.0,0.0,0.0
Chile,8.82,14.52,0.0,20.27
China,762.7,427.72,417.8,1303.13
Colombia,0.06,0.33,0.0,58.73
Comoros,0.0,0.0,0.0,0.0
Congo,0.0,0.0,0.0,0.9
Cook Islands,0.0,0.02,0.0,0.0
Costa Rica,1.37,0.07,0.0,9.36
Cote d'Ivoire,0.0,0.02,0.0,3.35
Croatia,2.28,0.15,0.0,5.46
Cuba,0.02,0.27,0.0,0.12
Curacao,,,0.0,
Cyprus,0.22,0.6,0.0,0.0
Czechia,0.65,2.63,31.02,2.09
Democratic Republic of Congo,0.0,0.01,0.0,11.0
Denmark,18.93,2.2,0.0,0.01
Djibouti,0.0,0.0,0.0,0.0
Dominica,0.0,0.0,0.0,0.04
Dominican Republic,1.32,0.56,0.0,1.0
East Timor,0.0,0.0,0.0,0.0
Ecuador,0.06,0.04,0.0,25.9
Egypt,5.14,5.03,0.0,13.8
El Salvador,0.0,1.03,0.0,2.26
Equatorial Guinea,0.0,0.0,0.0,0.48
Eritrea,0.0,0.01,0.0,0.0
Estonia,0.63,0.6,0.0,0.02
